2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.447,76.0,0.0,0.0,32,1.5,9.2,0.3,,,,0.478,23.0,,10,,53.5,25.7,,Nene,PF,7.9,,,6.6,0.9,Was,0.14,13.9,0.459,17.3,6.7,2015
0.261,23.0,0.462,13.0,25,1.8,19.5,0.11,,,,0.375,8.0,,9,,29.2,14.0,,Nick Calathes,SG,3.7,,,1.8,1.0,Mem,0.202,7.0,0.418,17.9,6.5,2015
0.3,10.0,0.143,7.0,22,0.4,11.8,0.11,,,,1.0,3.0,,9,,11.3,5.4,,Nick Johnson,SG,1.3,,,0.4,0.0,Hou,0.179,4.2,0.328,19.1,4.4,2015
0.355,31.0,0.333,39.0,26,5.2,21.5,0.2,,,,0.769,13.0,,5,,86.9,41.7,,Nicolas Batum,SF,14.2,,,8.6,0.2,Por,0.137,11.1,0.469,19.3,8.2,2015
0.361,36.0,0.233,30.0,23,0.8,9.2,0.55,,,,0.8,20.0,,11,,31.0,14.9,,Nikola Mirotic,PF,5.7,,,2.7,0.55,Chi,0.097,10.1,0.421,23.1,6.2,2015
0.545,22.0,0.214,14.0,26,1.8,10.5,0.25,,,,0.667,3.0,,4,,55.1,26.4,,Norris Cole,PG,8.8,,,1.8,0.0,Nor,0.177,3.7,0.469,19.6,4.6,2015
0.343,35.0,0.316,19.0,27,3.0,20.2,0.17,,,,1.0,12.0,,6,,54.1,26.0,,O.J. Mayo,SG,9.0,,,3.3,1.17,Mil,0.132,6.8,0.455,19.7,6.9,2015
0.2,10.0,0.0,0.0,28,1.5,10.1,0.0,,,,0.571,7.0,,4,,41.3,19.8,,Omer Asik,C,2.0,,,7.3,1.25,Nor,0.277,20.3,0.306,10.4,5.7,2015
0.482,56.0,0.375,32.0,21,1.8,8.4,0.2,,,,0.476,21.0,,10,,68.9,33.1,,Otto Porter,SF,10.0,,,8.0,1.2,Was,0.058,13.1,0.514,13.8,6.3,2015
0.438,16.0,0.293,41.0,37,2.3,18.6,0.0,,,,0.75,4.0,,17,,36.0,17.3,,Pablo Prigioni,PG,3.1,,,1.1,0.88,Hou,0.17,3.4,0.451,10.1,4.6,2015
0.667,12.0,0.467,15.0,25,1.3,7.8,0.0,,,,1.0,4.0,,4,,55.2,26.5,,Patrick Patterson,PF,10.3,,,3.5,0.75,Tor,0.094,7.5,0.713,13.5,5.4,2015
0.357,14.0,0.571,28.0,26,1.1,11.9,0.0,,,,1.0,13.0,,7,,33.4,16.0,,Patty Mills,PG,10.1,,,2.7,0.29,San,0.095,9.0,0.744,21.1,7.8,2015
0.505,111.0,0.0,4.0,34,3.1,18.1,2.1,,,,0.762,42.0,,10,,66.0,31.7,,Pau Gasol,PF,14.4,,,9.4,0.5,Chi,0.136,16.3,0.539,22.2,9.4,2015
0.438,160.0,0.306,49.0,29,3.4,16.0,0.88,,,,0.744,78.0,,16,,73.7,35.4,,Paul Millsap,PF,15.2,,,8.7,1.56,Atl,0.123,13.1,0.499,22.3,8.7,2015
0.417,36.0,0.524,63.0,37,0.9,5.0,0.7,,,,0.85,20.0,,10,,62.0,29.8,,Paul Pierce,SF,14.6,,,4.2,0.6,Was,0.085,7.7,0.677,17.5,5.1,2015
0.278,18.0,0.344,32.0,32,0.3,3.0,0.2,,,,0.8,25.0,,15,,27.6,13.2,,Pero Antic,PF,4.2,,,2.9,0.13,Atl,0.076,11.6,0.516,15.1,4.7,2015
0.389,18.0,0.3,10.0,26,3.0,13.9,0.0,,,,0.857,7.0,,4,,64.9,31.2,,Quincy Pondexter,SF,7.3,,,5.0,1.75,Nor,0.031,8.9,0.467,11.8,6.1,2015
0.444,18.0,0.5,2.0,28,3.0,25.8,0.0,,,,0.0,0.0,,2,,38.8,18.6,,Rajon Rondo,PG,9.5,,,1.0,0.0,Dal,0.091,2.8,0.475,24.2,6.6,2015
0.356,45.0,0.4,25.0,28,2.3,16.2,0.1,,,,0.684,19.0,,10,,45.4,21.8,,Ramon Sessions,PG,7.5,,,2.4,0.4,Was,0.113,6.0,0.479,18.0,6.3,2015
0.364,11.0,0.0,4.0,30,1.3,14.6,0.0,,,,1.0,3.0,,3,,25.1,12.0,,Raymond Felton,PG,3.7,,,2.3,0.0,Dal,0.0,10.0,0.337,18.5,7.4,2015
0.333,6.0,0.375,8.0,34,0.3,2.6,0.0,,,,1.0,2.0,,4,,26.4,12.7,,Richard Jefferson,SF,3.8,,,0.5,0.5,Dal,0.168,2.0,0.504,14.4,2.6,2015
0.6,15.0,0.0,0.0,26,0.6,4.1,1.0,,,,1.0,8.0,,5,,48.8,23.4,,Robin Lopez,C,5.2,,,4.4,0.2,Por,0.213,10.1,0.702,9.2,4.1,2015
0.458,24.0,0.417,12.0,26,2.3,15.7,0.5,,,,1.0,6.0,,4,,49.5,23.7,,Ryan Anderson,PF,10.8,,,4.5,0.0,Nor,0.094,10.5,0.556,20.5,8.1,2015
0.538,78.0,0.0,1.0,29,1.8,15.1,0.24,,,,0.84,25.0,,21,,37.2,17.8,,Shaun Livingston,PG,5.0,,,2.4,0.38,Gol,0.189,7.4,0.583,13.3,6.3,2015
0.5,18.0,0.286,21.0,24,1.0,16.6,0.0,,,,0.5,6.0,,10,,20.6,9.9,,Shelvin Mack,PG,3.9,,,1.1,0.8,Atl,0.046,5.9,0.468,20.1,6.6,2015
0.545,11.0,0.5,6.0,26,0.6,13.4,0.38,,,,1.0,2.0,,8,,14.7,7.1,,Spencer Hawes,PF,2.9,,,1.6,0.25,Lac,0.053,12.1,0.643,14.5,7.9,2015
0.493,207.0,0.422,232.0,26,6.3,29.7,0.14,,,,0.835,115.0,,21,,81.9,39.3,,Stephen Curry,PG,28.3,,,5.0,1.86,Gol,0.143,6.9,0.607,31.0,9.8,2015
0.333,3.0,0.125,8.0,34,1.6,28.9,0.2,,,,1.0,2.0,,5,,17.8,8.5,,Steve Blake,PG,1.4,,,0.2,0.0,Por,0.144,1.3,0.295,14.9,3.6,2015
0.472,72.0,0.0,0.0,29,1.0,7.3,1.0,,,,0.7,30.0,,12,,48.0,23.0,,Taj Gibson,PF,7.4,,,5.5,0.33,Chi,0.114,13.1,0.522,15.9,6.0,2015
0.457,140.0,0.158,19.0,23,1.0,6.9,0.71,,,,0.667,54.0,,17,,49.1,23.6,,Terrence Jones,PF,10.2,,,4.8,0.47,Hou,0.08,10.5,0.473,20.7,6.2,2015
0.455,11.0,0.333,18.0,23,1.0,5.8,1.0,,,,0.0,0.0,,4,,55.5,26.7,,Terrence Ross,SF,7.0,,,1.5,0.75,Tor,0.065,3.2,0.483,13.1,3.3,2015
0.468,62.0,0.0,4.0,26,2.7,14.3,0.17,,,,0.417,12.0,,6,,66.1,31.7,,Thaddeus Young,PF,10.5,,,7.2,0.83,Bro,0.164,12.2,0.442,20.5,7.4,2015
0.375,24.0,0.0,0.0,30,1.3,10.2,0.14,,,,0.316,19.0,,7,,36.7,17.6,,Tiago Splitter,C,3.4,,,4.4,0.57,San,0.178,13.4,0.371,14.3,6.1,2015
0.596,89.0,0.0,1.0,38,3.3,16.0,1.43,,,,0.559,34.0,,7,,74.4,35.7,,Tim Duncan,PF,17.9,,,11.1,1.29,San,0.063,16.6,0.595,20.1,9.7,2015
0.5,148.0,0.0,0.0,28,0.7,4.3,1.8,,,,0.79,81.0,,20,,55.1,26.4,,Timofey Mozgov,C,10.6,,,7.3,0.4,Cle,0.168,15.2,0.577,18.9,5.7,2015
0.54,50.0,0.143,7.0,33,1.5,8.4,1.1,,,,0.75,12.0,,10,,58.1,27.9,,Tony Allen,SG,6.6,,,5.2,2.4,Mem,0.173,10.3,0.53,12.3,5.3,2015
0.402,82.0,0.0,9.0,32,3.6,18.9,0.0,,,,0.588,17.0,,7,,62.5,30.0,,Tony Parker,PG,10.9,,,3.3,0.29,San,0.1,5.8,0.386,23.4,6.7,2015
0.353,17.0,0.333,27.0,23,0.5,7.0,0.27,,,,1.0,4.0,,11,,26.5,12.7,,Tony Snell,SF,3.9,,,1.5,0.0,Chi,0.099,6.7,0.47,16.5,4.5,2015
0.488,80.0,0.375,96.0,29,2.6,10.1,0.12,,,,0.905,42.0,,17,,80.3,38.5,,Trevor Ariza,SF,13.2,,,6.4,1.76,Hou,0.102,8.6,0.576,13.8,6.3,2015
0.558,129.0,0.0,0.0,23,0.5,2.0,1.2,,,,0.585,82.0,,20,,75.7,36.3,,Tristan Thompson,PF,9.6,,,10.8,0.25,Cle,0.083,16.4,0.582,11.2,4.1,2015
0.25,4.0,0.2,5.0,20,3.0,32.4,0.0,,,,0.0,0.0,,1,,34.1,16.4,,Tyler Ennis,PG,5.0,,,4.0,0.0,Mil,0.0,12.9,0.278,24.7,9.5,2015
0.2,5.0,0.0,0.0,29,0.8,8.7,0.25,,,,0.75,4.0,,4,,24.8,11.9,,Tyler Hansbrough,PF,1.3,,,1.5,0.5,Tor,0.228,7.2,0.37,8.3,3.9,2015
0.517,29.0,0.0,0.0,25,0.5,4.0,0.25,,,,0.8,5.0,,4,,46.7,22.4,,Tyler Zeller,C,8.5,,,4.5,0.5,Bos,0.114,11.0,0.545,17.5,4.8,2015
0.375,32.0,0.182,11.0,25,5.0,24.2,0.25,,,,0.588,17.0,,4,,65.3,31.3,,Tyreke Evans,SF,10.0,,,5.0,1.25,Nor,0.106,8.9,0.396,20.6,8.1,2015
0.655,29.0,0.0,0.0,32,0.2,0.8,1.2,,,,0.5,26.0,,5,,66.9,32.1,,Tyson Chandler,C,10.2,,,10.8,0.6,Dal,0.11,17.3,0.631,11.6,3.5,2015
0.513,39.0,0.25,28.0,38,1.0,9.3,0.18,,,,0.889,9.0,,11,,37.1,17.8,,Vince Carter,SG,6.3,,,4.3,0.64,Mem,0.09,13.2,0.486,18.2,6.7,2015
0.5,12.0,0.5,2.0,32,1.0,17.4,0.33,,,,0.8,5.0,,3,,21.9,10.5,,Will Bynum,SG,6.3,,,1.0,0.67,Was,0.236,5.2,0.586,29.8,7.0,2015
0.429,163.0,0.2,5.0,33,2.1,10.8,0.0,,,,0.879,33.0,,11,,72.4,34.7,,Zach Randolph,PF,15.6,,,8.5,0.55,Mem,0.112,13.4,0.471,24.6,7.5,2015
0.4,40.0,0.0,0.0,30,1.5,12.4,0.5,,,,0.615,13.0,,6,,44.7,21.4,,Zaza Pachulia,C,6.7,,,6.7,1.67,Mil,0.099,16.5,0.437,17.7,7.6,2015
0.689,45.0,0.0,0.0,20,0.2,1.9,1.33,,,,0.348,23.0,,18,,36.9,18.2,,Steven Adams,C,3.9,,,4.1,0.06,Okc,0.154,12.8,0.635,9.1,3.2,2014
0.449,247.0,0.667,3.0,28,1.5,7.0,1.64,,,,0.8,75.0,,11,,80.8,39.9,,LaMarcus Aldridge,PF,26.2,,,10.6,0.64,Por,0.063,14.5,0.509,30.2,7.5,2014
0.448,58.0,0.388,85.0,38,1.6,9.8,0.2,,,,0.919,37.0,,20,,54.5,26.1,,Ray Allen,SG,9.3,,,3.4,0.7,Mia,0.126,8.5,0.581,17.8,5.7,2014
0.538,65.0,0.0,7.0,32,1.3,6.9,0.14,,,,0.762,21.0,,7,,64.3,32.7,,Tony Allen,SG,12.3,,,7.7,1.71,Mem,0.129,13.2,0.529,18.7,6.1,2014
0.589,56.0,0.0,1.0,35,0.3,2.5,1.0,,,,0.684,38.0,,18,,36.3,17.4,,Chris Andersen,C,5.1,,,5.9,0.28,Mia,0.109,22.8,0.624,13.5,4.8,2014
0.516,31.0,0.29,31.0,31,1.3,9.2,0.0,,,,0.667,18.0,,12,,44.9,21.6,,Alan Anderson,SF,5.9,,,2.7,0.83,Bro,0.125,7.8,0.508,15.1,5.1,2014
0.235,17.0,0.12,25.0,31,0.7,5.0,0.43,,,,0.625,8.0,,7,,50.2,24.1,,Pero Antic,PF,3.1,,,3.9,0.71,Atl,0.149,9.1,0.242,14.8,3.4,2014
0.519,52.0,0.446,56.0,28,1.7,8.1,0.36,,,,0.778,27.0,,11,,75.9,36.8,,Trevor Ariza,SF,13.6,,,8.9,1.55,Was,0.105,14.0,0.626,15.6,6.4,2014
0.485,33.0,0.0,0.0,27,0.7,3.5,0.67,,,,1.0,3.0,,6,,53.3,26.9,,Omer Asik,C,5.8,,,8.2,0.5,Hou,0.243,16.7,0.51,11.9,4.8,2014
0.304,46.0,0.269,26.0,26,4.8,32.7,0.0,,,,0.895,19.0,,5,,56.9,27.9,,D.J. Augustin,PG,13.2,,,1.6,0.6,Chi,0.101,3.3,0.411,30.8,6.7,2014
0.407,27.0,0.381,21.0,21,1.1,7.7,0.43,,,,0.563,16.0,,7,,46.0,22.1,,Harrison Barnes,SF,7.9,,,4.0,0.14,Gol,0.083,10.4,0.5,16.5,5.9,2014
0.553,47.0,0.317,60.0,33,1.8,8.1,0.23,,,,0.684,19.0,,13,,64.3,30.9,,Matt Barnes,SF,9.4,,,4.5,0.92,Lac,0.128,8.3,0.529,14.3,5.5,2014
0.478,23.0,0.545,11.0,23,0.4,6.7,0.29,,,,0.833,6.0,,7,,22.8,11.4,,Will Barton,SG,6.4,,,1.9,0.14,Por,0.141,8.8,0.614,23.4,5.9,2014
0.5,6.0,0.45,20.0,35,0.3,3.7,0.06,,,,0.8,5.0,,16,,25.8,12.4,,Shane Battier,SF,2.3,,,0.6,0.31,Mia,0.175,3.4,0.656,8.8,2.4,2014
0.561,82.0,0.35,60.0,25,4.8,18.4,0.45,,,,0.8,15.0,,11,,84.3,41.6,,Nicolas Batum,SF,15.2,,,7.6,1.27,Por,0.159,10.0,0.562,17.0,7.9,2014
0.522,23.0,0.0,1.0,27,0.0,0.0,0.0,,,,0.8,10.0,,14,,14.4,7.0,,Aron Baynes,C,2.3,,,2.2,0.21,San,0.198,18.6,0.563,16.8,0.0,2014
0.427,124.0,0.415,53.0,20,4.5,20.1,0.64,,,,0.796,49.0,,11,,85.4,41.4,,Bradley Beal,SG,19.2,,,4.9,1.64,Was,0.104,6.9,0.531,23.0,7.3,2014
0.5,10.0,0.0,0.0,25,0.5,16.9,0.0,,,,0.333,3.0,,4,,11.9,5.7,,Michael Beasley,SF,2.8,,,1.0,0.0,Mia,0.081,11.7,0.486,27.6,7.9,2014
0.459,61.0,0.421,38.0,27,0.8,7.7,0.0,,,,0.955,22.0,,23,,31.7,15.3,,Marco Belinelli,SF,5.4,,,2.3,0.13,San,0.099,8.7,0.575,15.9,5.6,2014
0.429,28.0,0.318,22.0,25,1.8,7.6,0.33,,,,0.7,10.0,,6,,66.5,33.6,,Patrick Beverley,SG,8.7,,,4.2,0.5,Hou,0.068,6.8,0.478,12.3,4.8,2014
0.6,5.0,0.0,0.0,21,0.3,3.3,0.67,,,,0.333,6.0,,3,,33.2,15.9,,Bismack Biyombo,C,2.7,,,3.7,0.0,Cha,0.0,14.5,0.524,7.6,3.6,2014
0.593,27.0,0.0,0.0,24,0.2,2.0,0.0,,,,0.615,13.0,,6,,27.6,13.3,,DeJuan Blair,PF,6.7,,,6.2,2.0,Dal,0.133,27.2,0.611,21.4,6.1,2014
0.5,2.0,0.3,10.0,33,0.3,6.5,0.0,,,,0.0,1.0,,6,,15.2,7.3,,Steve Blake,PG,1.8,,,0.7,0.0,Gol,0.139,5.2,0.442,14.0,4.0,2014
0.464,56.0,0.0,2.0,27,0.3,4.1,0.17,,,,0.833,30.0,,12,,29.5,14.1,,Andray Blatche,PF,6.4,,,5.0,0.5,Bro,0.123,22.3,0.541,23.4,6.0,2014
0.667,9.0,0.333,12.0,33,0.5,11.2,0.05,,,,0.75,4.0,,22,,12.3,6.0,,Matt Bonner,PF,1.2,,,0.6,0.09,San,0.081,6.3,0.593,8.8,4.7,2014
0.481,27.0,0.0,2.0,26,0.9,9.0,1.0,,,,0.667,6.0,,9,,32.9,16.0,,Trevor Booker,PF,3.3,,,4.3,0.33,Was,0.087,15.7,0.474,11.4,5.8,2014
0.426,47.0,0.0,0.0,32,1.0,8.1,0.0,,,,0.889,9.0,,5,,49.1,24.0,,Carlos Boozer,PF,9.6,,,7.8,0.2,Chi,0.121,18.8,0.471,23.2,7.0,2014
0.555,155.0,0.405,74.0,29,1.1,5.4,1.0,,,,0.75,48.0,,20,,71.0,34.1,,Chris Bosh,C,14.9,,,5.6,0.85,Mia,0.053,11.0,0.596,19.8,5.3,2014
0.167,12.0,0.0,0.0,34,0.9,12.3,0.86,,,,0.8,5.0,,7,,23.9,11.5,,Elton Brand,PF,1.1,,,3.3,0.14,Atl,0.0,16.3,0.282,8.2,5.2,2014
0.286,49.0,0.356,59.0,33,0.8,5.5,0.11,,,,0.786,28.0,,18,,46.6,23.0,,Caron Butler,SF,6.3,,,3.2,0.28,Okc,0.084,7.9,0.47,14.4,4.4,2014
0.432,37.0,0.3,20.0,24,2.2,8.8,0.0,,,,0.783,23.0,,5,,88.4,43.3,,Jimmy Butler,SG,13.6,,,5.2,1.4,Chi,0.043,6.9,0.507,15.6,5.0,2014
0.333,3.0,0.417,12.0,34,0.1,2.4,0.09,,,,1.0,2.0,,11,,12.7,6.1,,Rasual Butler,SG,1.7,,,0.5,0.09,Ind,0.059,5.4,0.598,12.2,2.9,2014
0.452,42.0,0.478,23.0,32,4.4,24.8,0.0,,,,1.0,1.0,,7,,56.5,27.1,,Jose Calderon,SG,10.3,,,1.3,0.14,Dal,0.097,2.8,0.55,17.2,5.7,2014
0.519,27.0,0.409,22.0,27,1.6,8.4,0.43,,,,0.636,11.0,,7,,72.7,34.9,,DeMarre Carroll,SF,8.9,,,4.9,0.71,Atl,0.129,7.9,0.576,11.8,4.7,2014
0.432,37.0,0.484,31.0,37,2.4,13.8,0.29,,,,0.786,14.0,,7,,56.2,27.0,,Vince Carter,SG,12.6,,,3.6,0.43,Dal,0.075,7.7,0.593,19.1,7.1,2014
0.471,68.0,0.349,43.0,27,3.6,20.9,0.3,,,,0.76,25.0,,20,,55.2,26.5,,Mario Chalmers,PG,6.4,,,2.3,0.95,Mia,0.197,5.7,0.525,14.6,5.7,2014
0.447,38.0,0.375,40.0,25,1.8,13.7,0.05,,,,0.867,15.0,,20,,41.7,20.0,,Norris Cole,PG,4.6,,,1.1,0.4,Mia,0.183,3.7,0.544,13.2,4.2,2014
0.436,78.0,0.083,12.0,26,2.4,18.6,0.08,,,,0.867,45.0,,13,,39.5,18.9,,Darren Collison,PG,8.5,,,2.1,0.46,Lac,0.099,6.3,0.501,21.5,7.4,2014
0.417,24.0,0.4,5.0,33,0.8,10.7,0.41,,,,0.7,10.0,,17,,21.4,10.6,,Nick Collison,PF,1.9,,,2.2,0.24,Okc,0.152,12.0,0.494,10.0,5.6,2014
0.539,76.0,0.111,27.0,26,7.9,37.3,0.14,,,,0.769,26.0,,7,,74.5,37.9,,Mike Conley,PG,15.9,,,4.6,2.0,Mem,0.116,6.8,0.485,22.4,8.8,2014
0.5,12.0,0.375,16.0,29,0.1,2.3,0.25,,,,0.667,9.0,,12,,13.8,6.6,,Chris Copeland,SF,3.0,,,0.4,0.25,Ind,0.135,3.8,0.563,22.7,3.0,2014
0.446,92.0,0.342,79.0,33,2.0,14.0,0.15,,,,0.886,44.0,,13,,49.7,23.8,,Jamal Crawford,SG,15.5,,,1.5,0.92,Lac,0.073,3.5,0.531,28.7,6.0,2014
0.385,26.0,0.286,7.0,25,0.3,6.3,0.0,,,,0.786,14.0,,6,,19.1,9.2,,Jordan Crawford,SG,6.2,,,1.5,0.17,Gol,0.113,9.3,0.472,34.1,6.1,2014
0.455,11.0,0.429,7.0,23,0.3,3.5,0.14,,,,0.0,0.0,,7,,23.8,11.4,,Jae Crowder,SF,2.7,,,1.7,0.29,Dal,0.143,8.8,0.528,11.8,3.9,2014
0.492,59.0,0.386,57.0,25,8.4,32.0,0.14,,,,0.881,42.0,,7,,87.8,42.2,,Stephen Curry,PG,23.0,,,3.6,1.71,Gol,0.162,4.8,0.599,23.2,8.4,2014
0.458,24.0,0.0,0.0,32,0.0,0.0,1.43,,,,0.667,15.0,,7,,39.8,19.1,,Samuel Dalembert,C,4.6,,,8.4,0.29,Dal,0.116,25.8,0.523,11.7,0.0,2014
0.5,2.0,0.533,15.0,22,0.3,2.2,0.0,,,,1.0,5.0,,4,,32.6,16.9,,Troy Daniels,SG,7.8,,,2.3,0.5,Hou,0.094,7.3,0.807,13.4,4.1,2014
0.61,41.0,0.0,0.0,28,0.7,8.7,0.23,,,,0.0,0.0,,13,,25.0,12.0,,Glen Davis,PF,3.8,,,2.8,0.23,Lac,0.146,13.2,0.61,13.4,6.5,2014
0.0,2.0,0.0,0.0,25,0.0,0.0,0.0,,,,0.0,0.0,,1,,10.4,5.5,,Austin Daye,SF,0.0,,,1.0,0.0,San,0.0,10.6,0.0,16.8,0.0,2014
0.394,99.0,0.333,18.0,24,3.6,17.0,0.29,,,,0.899,79.0,,7,,83.7,40.2,,DeMar DeRozan,SG,23.9,,,4.1,1.14,Tor,0.106,6.3,0.55,28.3,7.0,2014
0.539,115.0,0.4,45.0,31,3.4,18.8,0.13,,,,0.688,48.0,,23,,54.1,26.1,,Boris Diaw,PF,9.2,,,4.9,0.61,San,0.138,10.9,0.582,16.3,8.2,2014
0.875,8.0,0.5,8.0,27,0.5,5.4,0.0,,,,0.857,14.0,,4,,35.8,17.2,,Chris Douglas-Roberts,SF,9.5,,,2.0,0.0,Cha,0.153,7.3,0.857,18.2,4.9,2014
0.0,5.0,0.5,6.0,28,0.3,6.2,0.0,,,,0.0,0.0,,7,,12.8,6.2,,Jared Dudley,SF,1.3,,,0.9,0.14,Lac,0.0,8.0,0.409,11.1,4.6,2014
0.527,283.0,0.0,2.0,37,1.9,9.4,1.26,,,,0.76,100.0,,23,,67.4,32.5,,Tim Duncan,C,16.3,,,9.1,0.3,San,0.073,16.4,0.568,22.1,8.1,2014
0.481,27.0,0.462,26.0,33,2.4,14.1,0.2,,,,0.667,6.0,,5,,66.2,32.4,,Mike Dunleavy,SF,13.2,,,3.6,0.6,Chi,0.082,6.4,0.593,18.0,6.0,2014
0.508,297.0,0.344,125.0,25,3.9,18.4,1.32,,,,0.81,163.0,,19,,86.5,42.7,,Kevin Durant,SF,29.6,,,8.9,1.0,Okc,0.127,11.9,0.57,31.8,9.5,2014
0.0,0.0,0.333,6.0,26,1.0,22.5,0.0,,,,1.0,2.0,,2,,13.9,6.7,,Wayne Ellington,SG,4.0,,,1.0,0.0,Dal,0.225,8.7,0.581,30.0,9.5,2014
0.43,93.0,0.353,34.0,28,2.9,13.3,0.14,,,,0.871,31.0,,7,,73.8,35.4,,Monta Ellis,PG,20.4,,,2.4,1.29,Dal,0.096,4.0,0.508,28.3,5.9,2014
0.0,2.0,0.0,0.0,25,0.3,5.9,0.33,,,,0.0,0.0,,3,,17.3,8.3,,Landry Fields,SF,0.0,,,2.3,1.33,Tor,0.333,17.1,0.0,5.6,0.0,2014
0.344,32.0,0.293,41.0,39,0.8,8.1,0.0,,,,1.0,15.0,,19,,31.6,15.6,,Derek Fisher,SG,3.8,,,1.7,0.68,Okc,0.07,6.3,0.459,13.2,4.4,2014
0.667,3.0,0.0,3.0,32,0.0,0.0,0.0,,,,0.75,4.0,,2,,20.1,11.1,,Francisco Garcia,SF,3.5,,,1.0,0.0,Hou,0.0,4.9,0.451,14.8,0.0,2014
0.541,61.0,0.0,2.0,37,1.3,11.0,0.42,,,,0.739,23.0,,12,,42.9,20.6,,Kevin Garnett,C,6.9,,,6.3,0.75,Bro,0.151,19.4,0.568,17.0,7.5,2014
0.409,115.0,0.0,1.0,29,4.4,18.4,0.86,,,,0.794,34.0,,7,,83.7,42.6,,Marc Gasol,C,17.3,,,7.7,1.71,Mem,0.084,10.1,0.462,22.0,7.9,2014
0.462,186.0,0.403,129.0,23,3.8,17.9,0.42,,,,0.789,128.0,,19,,85.3,40.9,,Paul George,SF,22.6,,,7.6,2.16,Ind,0.117,11.3,0.578,26.4,8.5,2014
0.561,57.0,0.0,0.0,28,0.4,2.8,2.4,,,,0.75,36.0,,5,,62.4,30.6,,Taj Gibson,PF,18.2,,,6.2,0.4,Chi,0.099,11.7,0.625,25.4,4.7,2014
0.481,131.0,0.39,105.0,36,4.1,25.3,0.09,,,,0.862,94.0,,23,,52.5,25.3,,Manu Ginobili,SG,14.3,,,3.3,1.57,San,0.158,7.6,0.595,26.3,9.1,2014
0.412,34.0,0.0,4.0,32,0.4,4.5,0.4,,,,0.75,8.0,,10,,29.6,14.3,,Drew Gooden,C,3.4,,,4.3,0.3,Was,0.088,17.4,0.409,15.0,5.0,2014
0.492,118.0,0.0,0.0,29,1.5,7.5,1.36,,,,0.659,41.0,,11,,71.3,34.5,,Marcin Gortat,C,13.0,,,9.9,0.45,Was,0.128,16.6,0.526,19.4,6.7,2014
0.333,18.0,0.227,22.0,30,0.2,3.1,0.08,,,,0.778,9.0,,13,,21.2,10.2,,Danny Granger,SF,2.6,,,1.5,0.46,Lac,0.064,8.7,0.387,15.4,3.6,2014
0.517,58.0,0.475,101.0,26,0.9,5.9,0.74,,,,0.818,11.0,,23,,47.4,22.9,,Danny Green,SG,9.3,,,3.0,1.39,San,0.109,7.7,0.65,16.2,5.1,2014
0.645,31.0,0.276,29.0,23,2.9,13.1,1.71,,,,0.792,24.0,,7,,67.3,32.3,,Draymond Green,SF,11.9,,,8.3,1.71,Gol,0.194,14.7,0.588,16.5,8.2,2014
0.511,227.0,0.125,8.0,24,3.8,18.0,1.08,,,,0.74,96.0,,13,,76.1,36.5,,Blake Griffin,PF,23.5,,,7.5,1.23,Lac,0.101,11.7,0.552,28.2,9.6,2014
0.333,3.0,0.0,0.0,28,0.3,5.5,0.0,,,,0.833,6.0,,3,,19.6,9.4,,Tyler Hansbrough,PF,2.3,,,2.0,0.0,Tor,0.262,12.9,0.621,12.7,4.7,2014
0.43,79.0,0.296,54.0,24,5.8,21.7,0.17,,,,0.9,50.0,,6,,86.4,43.6,,James Harden,SG,26.8,,,4.7,2.0,Hou,0.119,5.9,0.519,28.6,8.3,2014
0.75,8.0,0.0,7.0,33,0.0,0.0,0.0,,,,0.714,7.0,,7,,17.0,8.3,,Al Harrington,PF,2.4,,,2.3,0.57,Was,0.181,16.0,0.47,18.0,0.0,2014
0.488,41.0,0.44,25.0,30,3.9,24.2,0.29,,,,0.875,8.0,,7,,52.0,25.0,,Devin Harris,PG,11.4,,,2.4,0.29,Dal,0.137,5.7,0.575,20.8,7.6,2014
0.459,37.0,0.0,0.0,33,0.3,3.8,0.19,,,,0.6,10.0,,16,,21.6,10.3,,Udonis Haslem,PF,2.5,,,2.6,0.06,Mia,0.024,16.5,0.483,13.1,4.9,2014
0.25,8.0,0.0,0.0,30,0.4,8.7,0.0,,,,1.0,2.0,,5,,15.2,7.3,,Chuck Hayes,C,1.2,,,1.6,0.6,Tor,0.101,13.3,0.338,12.7,5.0,2014
0.5,28.0,0.0,9.0,26,2.3,13.0,0.25,,,,0.647,17.0,,4,,61.6,29.6,,Gerald Henderson,SG,9.8,,,4.0,1.0,Cha,0.119,8.5,0.438,20.4,6.1,2014
0.452,146.0,0.0,1.0,27,0.9,5.5,1.42,,,,0.772,57.0,,19,,58.9,28.3,,Roy Hibbert,C,9.3,,,5.5,0.21,Ind,0.127,11.7,0.511,17.9,5.1,2014
0.464,138.0,0.0,0.0,31,2.6,15.7,1.2,,,,0.346,26.0,,10,,66.5,32.3,,Nene Hilario,PF,13.7,,,5.3,0.8,Was,0.102,9.5,0.458,24.4,7.1,2014
0.505,101.0,0.364,77.0,27,3.0,14.3,0.21,,,,0.721,61.0,,19,,74.9,36.0,,George Hill,PG,12.1,,,3.8,1.21,Ind,0.128,6.4,0.561,16.8,5.7,2014
