2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.833,6.0,0.0,0.0,23,0.0,0.0,0.25,,,,0.5,2.0,,4,,11.3,5.4,,Cory Joseph,PG,2.8,,,0.3,0.0,San,0.127,2.5,0.799,16.3,0.0,2015
0.586,70.0,0.467,30.0,29,2.2,11.0,0.0,,,,0.957,23.0,,11,,69.5,33.4,,Courtney Lee,SG,13.3,,,2.5,1.09,Mem,0.106,4.2,0.663,15.3,5.0,2015
0.523,65.0,0.161,31.0,24,4.6,22.8,0.6,,,,0.781,32.0,,5,,83.8,40.2,,Damian Lillard,PG,21.6,,,4.0,0.4,Por,0.098,5.4,0.491,27.8,7.3,2015
0.429,21.0,0.3,40.0,27,2.1,10.8,1.0,,,,0.667,6.0,,7,,60.6,29.1,,Danny Green,SG,8.3,,,3.1,1.0,San,0.073,5.8,0.456,15.1,5.2,2015
0.818,11.0,0.0,0.0,27,0.5,4.1,1.0,,,,1.0,3.0,,4,,39.2,18.8,,Dante Cunningham,PF,5.3,,,4.5,0.75,Nor,0.0,13.3,0.852,7.5,4.9,2015
0.4,40.0,0.0,0.0,31,0.6,11.8,0.15,,,,0.533,15.0,,13,,17.1,8.2,,David Lee,PF,3.1,,,2.6,0.23,Gol,0.041,17.4,0.429,20.4,8.2,2015
0.716,81.0,0.0,0.0,26,1.1,4.8,2.36,,,,0.427,157.0,,14,,71.8,34.5,,DeAndre Jordan,C,13.1,,,13.4,1.14,Lac,0.102,20.4,0.61,15.0,6.7,2015
0.403,72.0,0.375,8.0,25,5.8,26.6,0.0,,,,0.824,17.0,,4,,82.6,39.7,,DeMar DeRozan,SG,20.3,,,6.3,1.5,Tor,0.103,8.9,0.463,27.6,9.1,2015
0.543,105.0,0.403,72.0,28,2.0,9.5,0.31,,,,0.78,41.0,,16,,72.7,34.9,,DeMarre Carroll,SF,14.6,,,6.1,1.13,Atl,0.071,9.3,0.597,17.1,6.4,2015
0.432,111.0,0.235,34.0,21,3.9,37.8,0.0,,,,0.857,28.0,,16,,37.8,18.1,,Dennis Schroder,PG,9.0,,,1.8,0.56,Atl,0.146,5.3,0.458,28.9,8.8,2015
0.372,43.0,0.423,26.0,30,5.5,28.6,0.0,,,,0.857,7.0,,6,,66.7,32.0,,Deron Williams,PG,11.8,,,6.2,1.33,Bro,0.182,10.4,0.493,21.0,9.2,2015
0.414,169.0,0.348,66.0,26,6.5,33.5,0.5,,,,0.897,39.0,,12,,78.7,37.8,,Derrick Rose,PG,20.3,,,4.8,1.17,Chi,0.131,7.0,0.484,29.1,9.1,2015
0.667,12.0,0.0,11.0,31,1.0,7.2,0.0,,,,0.889,9.0,,4,,38.3,18.4,,Devin Harris,PG,6.0,,,2.0,0.5,Dal,0.129,5.6,0.445,17.2,5.0,2015
0.507,67.0,0.235,17.0,36,2.4,10.1,0.4,,,,0.929,28.0,,5,,75.4,36.2,,Dirk Nowitzki,PF,21.2,,,10.2,0.4,Dal,0.094,14.5,0.55,24.1,8.9,2015
0.51,149.0,0.264,91.0,24,5.2,21.2,1.19,,,,0.736,87.0,,21,,77.7,37.3,,Draymond Green,SF,13.7,,,10.1,1.81,Gol,0.172,14.7,0.517,19.2,9.6,2015
0.314,35.0,0.462,26.0,33,0.8,7.0,1.0,,,,0.769,13.0,,10,,37.1,17.8,,Drew Gooden,PF,6.8,,,5.5,0.2,Was,0.173,16.8,0.51,20.1,7.0,2015
0.577,182.0,0.0,0.0,29,1.2,5.9,2.29,,,,0.412,165.0,,17,,70.4,33.8,,Dwight Howard,C,16.4,,,14.0,1.35,Hou,0.13,21.5,0.546,21.3,7.7,2015
0.0,7.0,0.667,3.0,27,0.0,0.0,0.0,,,,0.0,0.0,,2,,13.5,6.5,,Earl Clark,PF,3.0,,,1.0,0.5,Bro,0.0,8.4,0.3,35.4,0.0,2015
0.469,32.0,0.406,32.0,26,3.8,18.2,0.5,,,,0.833,6.0,,4,,74.7,35.8,,Eric Gordon,SG,18.5,,,2.5,0.5,Nor,0.13,3.9,0.555,24.4,6.3,2015
0.395,38.0,0.217,23.0,27,0.5,3.9,0.5,,,,0.7,10.0,,6,,49.4,23.7,,Ersan Ilyasova,PF,8.7,,,3.8,0.83,Mil,0.071,8.6,0.398,22.3,4.3,2015
0.35,40.0,0.5,4.0,26,4.8,27.4,0.0,,,,0.889,9.0,,4,,61.4,29.5,,Evan Turner,SG,10.5,,,7.3,0.75,Bos,0.158,13.5,0.438,21.6,9.7,2015
0.54,50.0,0.0,0.0,25,0.3,5.1,0.5,,,,0.552,29.0,,20,,19.1,9.2,,Festus Ezeli,C,3.5,,,3.1,0.05,Gol,0.161,18.4,0.558,18.3,6.4,2015
0.333,3.0,0.0,3.0,28,0.3,5.2,0.0,,,,0.625,8.0,,4,,13.7,6.6,,Garrett Temple,SG,1.8,,,0.8,0.5,Was,0.24,6.2,0.368,21.2,4.6,2015
